id;start_dt;end_dt;risk_power
1;2019-12-16T10:14:13;2019-12-16T13:26:35;45606
2;2019-12-16T16:51:18;2019-12-16T00:11:08;61838
3;2019-12-16T14:14:15;2019-12-16T09:51:02;51423
4;2019-12-15T19:25:56;2019-12-16T04:48:42;46676
5;2019-12-16T17:54:53;2019-12-15T22:23:28;60754
6;2019-12-16T02:42:08;2019-12-16T14:56:13;45049
7;2019-12-16T17:28:06;2019-12-16T18:42:40;94888
8;2019-12-15T20:25:01;2019-12-15T19:51:17;56328
9;2019-12-15T23:37:42;2019-12-16T09:46:47;30461
10;2019-12-16T18:38:47;2019-12-16T16:41:08;23089
