id;code;name;start_dt;end_dt
1;synthesize Idaho com;Sleek Metal Table Small;2019-12-16T08:29:08;2019-12-16T16:26:25
2;Outdoors;Harbor Montana;2019-12-16T02:20:15;2019-12-15T21:14:54
3;Phased;Saint Lucia white;2019-12-15T20:24:05;2019-12-16T17:10:55
4;neutral Salad;Auto Loan Account modular Refined;2019-12-16T08:04:22;2019-12-15T23:44:30
5;maroon;EXE projection Fresh;2019-12-16T10:28:43;2019-12-16T11:23:51
6;Gorgeous Profit-focu;cutting-edge ability Hat;2019-12-16T06:12:42;2019-12-16T09:00:43
7;magenta Concrete;User-centric Gloves;2019-12-16T13:46:45;2019-12-16T06:34:43
8;Kenyan Shilling robu;Versatile Exclusive Moroccan Dirham;2019-12-16T01:56:07;2019-12-16T11:48:31
9;zero tolerance;mission-critical;2019-12-15T19:35:28;2019-12-16T06:57:56
10;Small Plastic Pants ;Canadian Dollar;2019-12-16T06:17:14;2019-12-16T07:16:58
